Nama Kos,Alamat,Jenis,Harga,WiFi,AC,Dapur,Listrik,Kamar mandi,Jarak dari PENS,Nomor pemilik kos,Cluster_KMeans
Kos Muslimah,Keputih gang 2b nomor 28,Khusus Perempuan,800000,Ada,Tidak,Ada,Include,Luar,2.8,+62 895-3970-76143,3
Kos The Gayam,Jalan wismpa permai ix no 21,Khusus Perempuan,1600000,Ada,Ada,Ada,Exclude,Luar,2.4,+62 811-314-413,8
Griya Risny TMB 114,Tegal Mulyorejo Baru No.114,Khusus Perempuan,800000,Ada,Tidak,Ada,Include,Luar,1.0,081259401184,3
Kos Khoirul Huda,Jalan Semampir Selatan IIA,Campur,275000,Ada,Tidak,Ada,Include,Luar,6.0,081230303153,12
Kos pak Mirza E20 ,"Keputih Gg makam, Blok E20",Khusus Laki Laki,450000,Ada,Tidak,Tidak,Include,Luar,3.3,+62 851-0091-8223,4
Jalan Gebang Wetan No 29,Jalan Gebang Wetan No 29,Khusus Perempuan,875000,Ada,Tidak,Ada,Include,Luar,1.4,085812791782,3
kos rabel,jl. gebang kidul no 44D1,Khusus Perempuan,1250000,Ada,Ada,Ada,Exclude,Dalam,0.5,082141254595,1
Jalan TMB No. 47,Jalan TMB No. 47,Khusus Perempuan,700000,Ada,Tidak,Ada,Include,Luar,2.1,+62 851-0157-7167,3
Gebang Lor 38,Jalan Gebang Lor no.38,Khusus Perempuan,800000,Ada,Tidak,Tidak,Include,Luar,1.5,081252730369,7
Kos Fio ,"Jl. Kalisari Damen No.KAV-18, RT.002/RW.03, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112",Khusus Perempuan,700000,Ada,Tidak,Ada,Include,Luar,2.0,+62 858-1776-6088,3
Erland Kos,Jl. Klampis Aji 1 no.34,Khusus Laki Laki,650000,Ada,Tidak,Ada,Include,Dalam,3.5,"+62 897-8915-888, +62 899-4325-888",0
Kost putri 70A gebang kidul,"Jl. Gebang Kidul No.70 A, RW.02, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117",Khusus Perempuan,850000,Ada,Tidak,Tidak,Include,Luar,1.3,085730810003,7
Kos Laki,Jalan Kejawan putih,Khusus Laki Laki,750000,Ada,Tidak,Ada,Include,Luar,3.5,+62 821-6530-4736,0
Kos muslimah Bu Yuni,"Jl. Keputih Gg. IIIC No.2, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111",Khusus Perempuan,750000,Ada,Tidak,Ada,Include,Luar,3.3,+62 881-0225-88191,3
Kost Putra Bu Yeni,Jl. Kejawan Putih Tambak I No.8,Khusus Laki Laki,700000,Ada,Tidak,Tidak,Exclude,Luar,1.0,0859 3114 8799,5
Kos Pak Rokhim,Jl.Kejawan Gebang I,Khusus Laki Laki,650000,Ada,Tidak,Ada,Include,Luar,2.4,085784626098,0
Kos Jalan gebang Lor no. 74,Jalan gebang Lor no. 74,Khusus Perempuan,500000,Ada,Tidak,Tidak,Include,Luar,1.8,-,7
Kos Bapak,Keputih Utara No 20,Khusus Laki Laki,350000,Ada,Tidak,Ada,Include,Luar,2.4,081235719253,0
Jl. Gubeng Airlangga I No.3,Jl. Gubeng Airlangga I No.3,Khusus Perempuan,700000,Ada,Tidak,Ada,Include,Luar,5.4,085746600699,3
KOS TMB 79,"Jl. Tegal Mulyorejo Baru No.79, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112",Khusus Perempuan,500000,Ada,Tidak,Ada,Include,Luar,1.5,+62 823-3022-0330,3
Kost Muslimah,"Jalan Gebang Wetan, No. 11, Gebang Putih, Kec. Sukolilo.",Khusus Perempuan,600000,Ada,Tidak,Ada,Exclude,Luar,1.8,085812050929,11
Kost 16 Gang Makam,Jalan Keputih Makam nomor 16,Khusus Perempuan,700000,Ada,Tidak,Ada,Include,Luar,3.8,+62 812-3993-6754,3
Kost keputih? ,Jalan Makam Blok C No. 14,Khusus Laki Laki,450000,Ada,Tidak,Tidak,Include,Luar,3.8,08183020-8000,4
Kos TMB,Jalan Tegal Mulyorejo Baru No. 79,Khusus Perempuan,700000,Ada,Tidak,Ada,Include,Luar,1.3,+62 823-3022-0330,3
Jalan Rodah No. 6,Jalan Rodah No. 6,Khusus Laki Laki,550000,Ada,Tidak,Ada,Include,Luar,1.2,082142097280,0
Kos TMB 98,"Jalan Tegal Mulyorejo Baru No.96, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60115",Khusus Laki Laki,800000,Ada,Tidak,Tidak,Include,Luar,1.3,+62 852-5845-2550,4
Rabbani Kost Syariah,Jalan Bhaskara Utara No.C3,Khusus Perempuan,2500000,Ada,Ada,Ada,Exclude,Dalam,1.2,+62 877-4304-3092,1
Kos,jl arief rahman hakim gan ii kampung deles no.3,Khusus Perempuan,550000,Ada,Ada,Ada,Include,Luar,3.2,+628563102245,14
Kos Sakinah,"Jl. Wisma Permai I No. 81, Mulyorejo, Surabaya",Khusus Perempuan,1800000,Ada,Ada,Ada,Include,Luar,2.3,+62 856-8762-505,14
Kos Bu Kadek ,"Kost Bu Kadek, Jalan Sutorejo Sel VIII Blok G 5 No. 11, RT.6/RW.8, Dukuh Sutorejo, Dukuh Sutorejo",Khusus Laki Laki,650000,Tidak,Tidak,Ada,Include,Luar,2.0,+62 877-4987-8887,13
Kost Wisper 312,"Jl. Wisma Permai III No.12, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115",Khusus Laki Laki,1300000,Ada,Ada,Ada,Exclude,Luar,0.3,‪+62 812‑3523‑6545‬,9
Kost Pagar Coklat,Jalan Tegal Mulyorejo Baru No. 44,Khusus Perempuan,750000,Ada,Tidak,Ada,Include,Luar,1.9,+62 813-3192-5747 (Reta) ,3
kos barokah,"Jalan Kejawan Putih Tambak No. 59, /RW.1, Kejawaan Putih Tamba, Kejawaan Putih Tambak, KOTA SURABAYA, MULYOREJO, JAWA TIMUR, ID, 60112",Campur,1000000,Tidak,Tidak,Tidak,Exclude,Dalam,2.0,+62 812-3337-1977,6
Kost pak rifaul,Keputih utara gg buntu ,Khusus Laki Laki,650000,Ada,Tidak,Ada,Include,Luar,2.8, 0821-3125-6682,0
Kos Bu Hikmah,Jl Gebang Wetan no 29B,Khusus Perempuan,850000,Ada,Tidak,Ada,Include,Luar,1.8,+62 858-1279-1782,3
Kos bu yeni,Jalan kejawan gang 1,Khusus Laki Laki,750000,Ada,Tidak,Tidak,Exclude,Luar,1.0,+62 859-3114-8799,5
Kos Bapak,Jalan Keputih Gg. III G,Khusus Laki Laki,216000,Ada,Tidak,Ada,Exclude,Dalam,4.0,087844197219,10
